ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
poxtA	3004470	protein homolog model	Resistomes & Variants	5	35.13 - 68.66	YES	NO	Blautia producta; Roseburia hominis; Enterocloster clostridioformis	92.00	0.00	92.00	39.99	680.80	138.95	0	0	0	0	N/A	N/A		1635; 1641; 1635; 1923; 1626	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection
vanH gene in vanD cluster	3002944	protein homolog model	Resistomes & Variants	13	34.94 - 84.21	YES	NO	Clostridium perfringens; Klebsiella pneumoniae; Erysipelatoclostridium ramosum; Enterococcus faecalis; Enterococcus faecium; Ruthenibacterium lactatiformans	54.00	0.00	54.00	30.15	299.62	159.49	0	0	0	0	N/A	N/A		1056; 999; 999; 999; 1056; 999; 999; 999; 999; 990; 984; 984; 972	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Clostridium perfringens mprF	3003773	protein homolog model	Resistomes & Variants	5	96.31 - 98.59	YES	NO	Clostridium perfringens	21.00	0.00	21.00	17.17	293.60	175.24	0	0	0	0	N/A	N/A		1710; 1710; 1710; 1710; 1710	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	protein homolog model	Resistomes & Variants	6	99.79 - 100.0	YES	YES	Clostridium perfringens; Enterococcus faecalis; Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus haemolyticus; Escherichia coli; Staphylococcus saprophyticus	1265.00	0.00	1265.00	41.69	703.33	163.21	0	0	0	0	N/A	N/A		1488; 2058; 1476; 1743; 1446; 1488	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
BPU-1	3004759	protein homolog model	Resistomes & Variants	1	98.85	NO	NO	Bacillus pumilus	7.00	0.00	7.00	7.35	58.00	56.00	0	0	0	0	N/A	N/A		789	BPU Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
FosBx1	3007372	protein homolog model	Resistomes & Variants	4	53.62 - 63.5	YES	NO	Bacillus subtilis; Bacillus amyloliquefaciens; Staphylococcus arlettae	6.00	0.00	6.00	6.76	29.50	32.62	0	0	0	0	N/A	N/A		423; 444; 423; 450	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
BSU-1	3006902	protein homolog model	Resistomes & Variants	1	97.75	NO	NO	Bacillus subtilis	1.00	0.00	1.00	2.49	20.00	46.00	0	0	0	0	N/A	N/A		804	BSU beta-lactamase	carbapenem	antibiotic inactivation
rmtB	3000860	protein homolog model	Resistomes & Variants	2	99.2 - 100.0	YES	NO	Burkholderia cenocepacia; Enterobacter hormaechei; Klebsiella pneumoniae; Pseudomonas aeruginosa	5.00	0.00	5.00	8.82	69.50	97.50	0	0	0	0	N/A	N/A		756; 795	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
qacG	3007015	protein homolog model	Resistomes & Variants	11	36.54 - 67.14	YES	NO	Burkholderia cenocepacia; Elizabethkingia anophelis; Enterobacter cloacae; Klebsiella pneumoniae; Streptococcus sanguinis; Staphylococcus haemolyticus; Rhizobium leguminosarum; Serratia odorifera; Edwardsiella tarda; Vibrio fluvialis	254.00	0.00	254.00	18.84	124.27	76.65	0	0	0	0	N/A	N/A		339; 333; 333; 1314; 327; 504; 342; 342; 333; 333; 333	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
FosXCC	3003208	protein homolog model	Resistomes & Variants	2	56.49 - 58.33	YES	NO	Clostridium botulinum; Enterococcus faecium	24.00	0.00	24.00	11.80	50.00	58.98	0	0	0	0	N/A	N/A		414; 438	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
nimJ	3007112	protein homolog model	Resistomes & Variants	2	55.83 - 58.64	NO	NO	Clostridium botulinum; Faecalibacterium prausnitzii	2.00	0.00	2.00	14.38	71.50	96.50	0	0	0	0	N/A	N/A		495; 510	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
vanH gene in vanO cluster	3002948	protein homolog model	Resistomes & Variants	2	40.33 - 41.06	NO	NO	Clostridium botulinum; Erysipelatoclostridium ramosum	29.00	0.00	29.00	55.52	550.00	134.34	0	0	0	0	N/A	N/A		987; 993	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
tet(W/N/W)	3004442	protein homolog model	Resistomes & Variants	2	79.94 - 94.36	NO	NO	Collinsella aerofaciens; Klebsiella pneumoniae	25.00	0.00	25.00	16.29	314.00	148.99	0	0	0	0	N/A	N/A		1938; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
kdpE	3003841	protein homolog model	Resistomes & Variants	8	91.07 - 99.55	YES	NO	Citrobacter portucalensis; Shigella boydii; Shigella dysenteriae; Escherichia coli; Escherichia marmotae	167.00	0.00	167.00	27.33	254.00	122.81	0	0	0	0	N/A	N/A		678; 678; 669; 1452; 957; 786; 777; 678	kdpDE	aminoglycoside antibiotic	antibiotic efflux
cepA	3003559	protein homolog model	Resistomes & Variants	2	99.33 - 99.67	NO	NO	Bacteroides fragilis	20.00	0.00	20.00	29.34	270.50	89.43	0	0	0	0	N/A	N/A		963; 903	CepA beta-lactamase	cephalosporin	antibiotic inactivation
lsaE	3003206	protein homolog model	Resistomes & Variants	5	97.17 - 100.0	YES	NO	Streptococcus equi; Streptococcus porcinus; Streptococcus suis; Streptococcus dysgalactiae; Staphylococcus aureus	186.00	0.00	186.00	35.18	522.40	152.99	0	0	0	0	N/A	N/A		1485; 1485; 1485; 1485; 1485	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
mdeA	3007011	protein homolog model	Resistomes & Variants	7	40.18 - 99.12	YES	NO	Lactobacillus gasseri; Staphylococcus hominis; Streptococcus gallolyticus; Staphylococcus warneri; Streptococcus mutans	72.00	0.00	72.00	12.36	169.00	69.63	0	0	0	0	N/A	N/A		1365; 1395; 1356; 1380; 1380; 1362; 1362	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic; penicillin beta-lactam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
bacA	3002986	protein homolog model	Resistomes & Variants	4	95.24 - 100.0	NO	NO	Enterobacter cloacae; Escherichia coli	9.00	0.00	9.00	18.61	154.50	155.80	0	0	0	0	N/A	N/A		822; 867; 822; 822	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
Klebsiella pneumoniae KpnE	3004580	protein homolog model	Resistomes & Variants	8	79.17 - 100.0	YES	NO	Enterobacter cloacae; Escherichia coli; Shigella flexneri; Klebsiella aerogenes; Klebsiella pneumoniae; Salmonella bongori	23.00	0.00	23.00	21.37	81.38	117.40	0	0	0	0	N/A	N/A		393; 366; 366; 366; 450; 363; 360; 363	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
ArnT	3005053	protein homolog model	Resistomes & Variants	7	40.85 - 72.05	NO	NO	Enterobacter cloacae; Shigella flexneri; Escherichia coli; Enterobacter hormaechei; Pseudomonas fluorescens	50.00	0.00	50.00	18.26	301.71	125.15	0	0	0	0	N/A	N/A		1656; 1653; 1653; 1653; 1653; 1644; 1656	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
CRP	3000518	protein homolog model	Resistomes & Variants	7	98.1 - 99.52	YES	NO	Enterobacter cloacae; Enterobacter hormaechei; Escherichia coli; Enterobacter cancerogenus	11.00	0.00	11.00	22.75	144.00	185.54	0	0	0	0	N/A	N/A		633; 633; 633; 633; 633; 633; 633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
APH(3')-Ib	3002642	protein homolog model	Resistomes & Variants	1	94.42	NO	NO	Phocaeicola vulgatus	2.00	0.00	2.00	25.91	213.00	185.50	0	0	0	0	N/A	N/A		822	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ErmG	3000522	protein homolog model	Resistomes & Variants	2	98.36 - 99.18	NO	NO	Phocaeicola vulgatus; Phocaeicola dorei	4.00	0.00	4.00	24.76	182.00	177.33	0	0	0	0	N/A	N/A		735; 735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
Erm(35)	3000604	protein homolog model	Resistomes & Variants	2	74.44 - 83.08	NO	NO	Phocaeicola vulgatus; Riemerella anatipestifer	84.00	0.00	84.00	30.90	247.50	91.06	0	0	0	0	N/A	N/A		801; 801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
dfrA17	3002860	protein homolog model	Resistomes & Variants	3	99.36	NO	YES	Shigella flexneri; Escherichia coli	30.00	0.00	30.00	50.15	370.33	151.92	0	0	0	0	N/A	N/A		822; 645; 603	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
patB	3000025	protein homolog model	Resistomes & Variants	5	76.23 - 99.66	NO	NO	Streptococcus cristatus; Streptococcus sanguinis; Streptococcus gordonii; Streptococcus pneumoniae	160.00	0.00	160.00	14.14	303.40	130.78	0	0	0	0	N/A	N/A		1767; 1770; 1770; 1776; 2709	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
mdtM	3001214	protein homolog model	Resistomes & Variants	10	93.6 - 98.24	YES	NO	Escherichia coli; Escherichia fergusonii	75.00	0.00	75.00	21.86	390.80	154.24	0	0	0	0	N/A	N/A		1233; 1233; 1176; 2553; 1260; 1233; 1260; 2553; 1332; 1233	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AcrS	3000656	protein homolog model	Resistomes & Variants	6	96.82 - 99.09	YES	NO	Escherichia coli	18.00	0.00	18.00	29.11	193.83	155.44	0	0	0	0	N/A	N/A		663; 663; 663; 663; 702; 663	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
mdtE	3000795	protein homolog model	Resistomes & Variants	7	97.66 - 100.0	YES	NO	Escherichia coli; Escherichia marmotae	31.00	0.00	31.00	27.34	325.71	180.71	0	0	0	0	N/A	N/A		1158; 1158; 1158; 1158; 1158; 1158; 1455	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
cpxA	3000830	protein homolog model	Resistomes & Variants	7	96.94 - 100.0	YES	NO	Escherichia coli; Salmonella enterica	29.00	0.00	29.00	24.16	332.00	165.96	0	0	0	0	N/A	N/A		1374; 1374; 1374; 1374; 1374; 1374; 1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
YojI	3003952	protein homolog model	Resistomes & Variants	6	98.9 - 99.82	YES	NO	Escherichia coli	39.00	0.00	39.00	32.33	531.50	176.05	0	0	0	0	N/A	N/A		1644; 1644; 1644; 1644; 1644; 1644	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
emrK	3000206	protein homolog model	Resistomes & Variants	7	94.28 - 99.72	YES	NO	Escherichia coli	56.00	0.00	56.00	19.92	231.14	147.63	0	0	0	0	N/A	N/A		1164; 1164; 1176; 1119; 1101; 1164; 1164	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
mdtP	3003550	protein homolog model	Resistomes & Variants	7	96.31 - 98.16	YES	NO	Escherichia coli; Shigella sonnei	26.00	0.00	26.00	15.59	296.43	158.04	0	0	0	0	N/A	N/A		1467; 1467; 1467; 1512; 1554; 3213; 3273	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
mdtN	3003548	protein homolog model	Resistomes & Variants	9	97.92 - 100.0	YES	NO	Escherichia coli; Shigella sonnei	58.00	0.00	58.00	28.84	299.00	184.96	0	0	0	0	N/A	N/A		1032; 1032; 1032; 1071; 1032; 1032; 1032; 1044; 1032	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
Escherichia coli emrE	3004039	protein homolog model	Resistomes & Variants	7	98.18 - 99.09	NO	NO	Escherichia coli	42.00	0.00	42.00	34.43	165.57	167.34	0	0	0	0	N/A	N/A		471; 609; 333; 504; 351; 471; 660	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gadW	3003838	protein homolog model	Resistomes & Variants	3	97.11 - 100.0	YES	NO	Escherichia coli	28.00	0.00	28.00	43.76	319.00	184.27	0	0	0	0	N/A	N/A		729; 729; 729	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
gadX	3000508	protein homolog model	Resistomes & Variants	9	92.7 - 100.0	NO	NO	Escherichia coli; Shigella sonnei	36.00	0.00	36.00	22.33	191.78	175.92	0	0	0	0	N/A	N/A		825; 825; 933; 984; 807; 867; 825; 822; 882	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
mdtH	3001216	protein homolog model	Resistomes & Variants	4	99.25 - 100.0	NO	NO	Escherichia coli; Shigella boydii	21.00	0.00	21.00	26.20	318.25	163.34	0	0	0	0	N/A	N/A		1209; 1209; 1209; 1239	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
APH(3'')-Ib	3002639	protein homolog model	Resistomes & Variants	5	95.65 - 99.25	YES	NO	Escherichia coli; Klebsiella pneumoniae	18.00	0.00	18.00	12.57	180.00	163.07	0	0	0	0	N/A	N/A		912; 1881; 864; 930; 2496	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
TolC	3000237	protein homolog model	Resistomes & Variants	5	99.19 - 100.0	NO	NO	Escherichia coli	20.00	0.00	20.00	19.17	284.20	170.15	0	0	0	0	N/A	N/A		1482; 1482; 1482; 1488; 1482	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AcrE	3000499	protein homolog model	Resistomes & Variants	4	95.31 - 100.0	YES	NO	Escherichia coli	29.00	0.00	29.00	34.81	413.75	147.27	0	0	0	0	N/A	N/A		1200; 1227; 1203; 1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
TEM-206	3001383	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	11.00	0.00	11.00	20.07	180.00	164.91	0	0	0	0	N/A	N/A		897	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
mdtF	3000796	protein homolog model	Resistomes & Variants	5	99.52 - 100.0	YES	NO	Escherichia coli	37.00	0.00	37.00	18.99	591.20	184.19	0	0	0	0	N/A	N/A		3114; 3114; 3114; 3114; 3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
acrD	3000491	protein homolog model	Resistomes & Variants	5	99.61 - 99.9	YES	NO	Escherichia coli	36.00	0.00	36.00	18.97	590.60	187.11	0	0	0	0	N/A	N/A		3114; 3114; 3114; 3114; 3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
ugd	3003577	protein homolog model	Resistomes & Variants	7	94.59 - 99.48	YES	NO	Escherichia coli	61.00	0.00	61.00	18.97	221.43	134.99	0	0	0	0	N/A	N/A		1167; 1167; 1167; 1167; 1167; 1167; 1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
emrY	3000254	protein homolog model	Resistomes & Variants	8	99.22 - 100.0	YES	NO	Escherichia coli	21.00	0.00	21.00	16.98	259.88	176.98	0	0	0	0	N/A	N/A		1539; 1539; 1539; 1563; 1539; 1539; 1545; 1473	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
mdtO	3003549	protein homolog model	Resistomes & Variants	8	97.36 - 98.83	YES	NO	Escherichia coli	34.00	0.00	34.00	16.87	346.25	184.07	0	0	0	0	N/A	N/A		2052; 2052; 2052; 2052; 2052; 2052; 2052; 2052	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
catA1	3002683	protein homolog model	Resistomes & Variants	2	100.0	NO	NO	Escherichia coli	48.00	0.00	48.00	20.12	134.50	138.72	0	0	0	0	N/A	N/A		699; 645	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
Escherichia coli mdfA	3001328	protein homolog model	Resistomes & Variants	9	96.1 - 96.83	YES	NO	Escherichia coli	48.00	0.00	48.00	17.64	223.33	168.15	0	0	0	0	N/A	N/A		1233; 1233; 1233; 1233; 1233; 1233; 1263; 1368; 1437	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
H-NS	3000676	protein homolog model	Resistomes & Variants	9	92.7 - 100.0	YES	NO	Escherichia coli; Klebsiella pneumoniae; Enterobacter hormaechei	27.00	0.00	27.00	34.54	176.33	156.73	0	0	0	0	N/A	N/A		414; 576; 489; 414; 504; 414; 1524; 462; 414	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
AAC(3)-IVa	3002539	protein homolog model	Resistomes & Variants	3	99.53 - 100.0	NO	YES	Escherichia coli; Salmonella enterica	84.00	0.00	84.00	26.97	304.67	177.39	0	0	0	0	N/A	N/A		1365; 714; 951	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
marA	3000263	protein homolog model	Resistomes & Variants	8	91.2 - 100.0	YES	NO	Escherichia coli; Klebsiella aerogenes; Klebsiella pneumoniae	62.00	0.00	62.00	19.32	96.88	111.17	0	0	0	0	N/A	N/A		837; 390; 384; 387; 384; 384; 384; 375	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
Escherichia coli acrA	3004043	protein homolog model	Resistomes & Variants	7	97.73 - 99.75	NO	NO	Escherichia coli	19.00	0.00	19.00	23.37	279.14	189.60	0	0	0	0	N/A	N/A		1194; 1194; 1206; 1194; 1194; 1194; 1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
evgS	3000833	protein homolog model	Resistomes & Variants	6	96.57 - 99.33	YES	NO	Escherichia coli	60.00	0.00	60.00	20.62	741.67	189.24	0	0	0	0	N/A	N/A		3594; 3594; 3594; 3594; 3642; 3594	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
AcrF	3000502	protein homolog model	Resistomes & Variants	9	98.94 - 99.71	YES	NO	Escherichia coli	52.00	0.00	52.00	14.52	461.00	175.74	0	0	0	0	N/A	N/A		4275; 3105; 3105; 3171; 3105; 3105; 3105; 3105; 3297	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
eptA	3003576	protein homolog model	Resistomes & Variants	7	96.3 - 99.63	YES	NO	Escherichia coli; Shigella sonnei	61.00	0.00	61.00	26.20	556.43	175.63	0	0	0	0	N/A	N/A		1644; 1689; 1644; 1644; 1644; 1719; 3372	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
EC-13	3006874	protein homolog model	Resistomes & Variants	1	99.2	NO	NO	Escherichia coli	15.00	0.00	15.00	13.67	171.00	161.47	0	0	0	0	N/A	N/A		1251	EC beta-lactamase	cephalosporin	antibiotic inactivation
emrA	3000027	protein homolog model	Resistomes & Variants	5	99.49 - 100.0	NO	NO	Escherichia coli; Escherichia fergusonii	10.00	0.00	10.00	15.95	187.80	175.70	0	0	0	0	N/A	N/A		1173; 1173; 1173; 1212; 1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
evgA	3000832	protein homolog model	Resistomes & Variants	4	99.51 - 100.0	NO	NO	Escherichia coli	11.00	0.00	11.00	29.21	184.00	186.18	0	0	0	0	N/A	N/A		615; 669; 615; 615	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
aadA5	3002605	protein homolog model	Resistomes & Variants	3	99.2 - 100.0	YES	NO	Escherichia coli	92.00	0.00	92.00	37.83	408.00	153.78	0	0	0	0	N/A	N/A		894; 1215; 846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
acrB	3000216	protein homolog model	Resistomes & Variants	5	99.81 - 100.0	NO	NO	Escherichia coli	158.00	0.00	158.00	22.52	712.20	149.36	0	0	0	0	N/A	N/A		3150; 3213; 3150; 3150; 3291	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
APH(6)-Id	3002660	protein homolog model	Resistomes & Variants	5	99.24 - 100.0	NO	YES	Escherichia coli; Salmonella enterica; Klebsiella pneumoniae	25.00	0.00	25.00	19.34	223.20	163.45	0	0	0	0	N/A	N/A		1635; 783; 1011; 888; 948	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
mdtA	3000792	protein homolog model	Resistomes & Variants	6	96.63 - 99.52	YES	NO	Escherichia coli; Escherichia albertii; Escherichia marmotae	21.00	0.00	21.00	19.21	247.17	170.75	0	0	0	0	N/A	N/A		1248; 1368; 1455; 1395; 1248; 1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
tet(B)	3000166	protein homolog model	Resistomes & Variants	4	98.75 - 99.25	YES	NO	Escherichia coli	13.00	0.00	13.00	25.62	309.00	191.00	0	0	0	0	N/A	N/A		1206; 1206; 1206; 1206	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ANT(3'')-IIa	3004089	protein homolog model	Resistomes & Variants	2	94.97 - 99.62	NO	NO	Escherichia coli	9.00	0.00	9.00	30.92	318.00	183.10	0	0	0	0	N/A	N/A		1143; 897	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
EC-5	3006880	protein homolog model	Resistomes & Variants	3	98.41 - 99.2	YES	NO	Escherichia coli	20.00	0.00	20.00	35.56	512.00	185.35	0	0	0	0	N/A	N/A		1557; 1422; 1416	EC beta-lactamase	cephalosporin	antibiotic inactivation
mdtB	3000793	protein homolog model	Resistomes & Variants	4	99.42 - 99.81	YES	NO	Escherichia coli	32.00	0.00	32.00	21.96	717.25	189.59	0	0	0	0	N/A	N/A		4371; 3123; 3123; 3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
Mrx	3003839	protein homolog model	Resistomes & Variants	5	97.6 - 100.0	NO	YES	Escherichia coli; Klebsiella pneumoniae	88.00	0.00	88.00	38.61	628.00	184.58	0	0	0	0	N/A	N/A		1236; 2007; 1377; 1239; 1167	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
AAC(3)-VIa	3002540	protein homolog model	Resistomes & Variants	1	99.33	NO	NO	Escherichia coli	3.00	0.00	3.00	35.44	320.00	191.00	0	0	0	0	N/A	N/A		903	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
TEM-243	3005273	protein homolog model	Resistomes & Variants	2	97.48 - 98.92	NO	YES	Escherichia coli	17.00	0.00	17.00	48.79	464.00	174.14	0	0	0	0	N/A	N/A		951; 951	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
AAC(3)-IIc	3002535	protein homolog model	Resistomes & Variants	4	92.75 - 96.9	NO	NO	Escherichia coli	63.00	0.00	63.00	21.13	189.00	154.19	0	0	0	0	N/A	N/A		996; 858; 747; 882	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-Ib-cr6	3005116	protein homolog model	Resistomes & Variants	1	98.99	NO	NO	Escherichia coli	3.00	0.00	3.00	23.13	186.00	157.00	0	0	0	0	N/A	N/A		804	AAC(6'); AAC(6')-Ib-cr	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation
dfrA19	3003015	protein homolog model	Resistomes & Variants	1	97.37	NO	NO	Escherichia coli	2.00	0.00	2.00	4.78	31.00	128.50	0	0	0	0	N/A	N/A		648	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
QepA2	3004103	protein homolog model	Resistomes & Variants	1	99.22	NO	NO	Escherichia coli	4.00	0.00	4.00	19.33	298.00	130.75	0	0	0	0	N/A	N/A		1542	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
rsmA	3005069	protein homolog model	Resistomes & Variants	3	83.61 - 92.73	NO	NO	Escherichia coli; Yersinia pestis	4.00	0.00	4.00	32.99	64.00	132.00	0	0	0	0	N/A	N/A		192; 186; 228	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
